game_date,home_points,away_points,home_possessions,away_possessions,home_id,away_id,winner_id,season_id
2012-12-18,98,93,98,96,18,5,18,4
2012-12-22,82,94,92,93,18,28,28,4
2012-12-26,108,93,93,93,18,22,18,4
2012-12-29,104,85,94,93,18,24,18,4
2013-01-02,110,117,102,100,18,10,10,4
2013-01-04,101,115,103,102,18,9,9,4
2013-01-08,108,99,92,94,18,13,18,4
2013-01-11,87,103,94,95,18,4,4,4
2013-01-22,110,102,94,93,18,14,18,4
2013-01-26,109,102,97,100,18,2,18,4
2013-01-30,88,104,92,91,18,25,25,4
2013-02-02,107,98,96,97,18,6,18,4
2013-02-09,100,105,99,98,18,4,4,4
2013-02-11,90,102,93,94,18,15,15,4
2013-02-13,94,92,88,88,18,14,18,4
2013-02-20,94,97,96,95,18,22,22,4
2013-02-23,102,103,97,97,18,30,30,4
2013-03-02,122,114,104,105,18,8,18,4
2013-03-04,109,108,104,104,18,17,18,4
2013-03-12,108,115,98,98,18,23,23,4
2013-03-15,94,107,88,88,18,24,24,4
2013-03-17,115,109,98,99,18,6,18,4
2013-03-19,102,95,89,89,18,16,18,4
2013-03-24,99,104,93,93,18,30,30,4
2013-03-28,113,103,100,99,18,27,18,4
2013-03-30,99,109,92,92,18,29,29,4
2013-04-01,131,102,101,100,18,3,18,4
2013-04-03,98,107,97,97,18,20,20,4
2013-04-06,100,83,91,92,18,8,18,4
2013-04-15,111,112,103,103,18,26,26,4
2012-11-05,103,94,95,95,21,17,21,4
2012-11-09,93,85,89,87,21,9,21,4
2012-11-11,104,86,92,92,21,24,21,4
2012-11-16,105,95,87,86,21,7,21,4
2012-11-19,92,97,90,89,21,26,26,4
2012-11-23,106,98,91,90,21,27,21,4
2012-11-26,84,78,81,82,21,28,21,4
2012-11-28,103,82,89,90,21,8,21,4
2012-11-30,90,78,90,91,21,4,21,4
2012-12-04,108,98,99,98,21,13,21,4
2012-12-08,83,93,88,89,21,30,30,4
2012-12-17,80,71,89,89,21,25,21,4
2012-12-19,90,80,95,96,21,18,21,4
2012-12-21,92,82,92,92,21,23,21,4
2012-12-26,89,99,88,90,21,14,14,4
2012-12-29,81,72,83,82,21,26,21,4
2013-01-04,84,86,86,87,21,16,16,4
2013-01-11,101,98,94,96,21,10,21,4
2013-01-14,73,99,88,89,21,12,12,4
2013-01-18,85,69,89,88,21,11,21,4
2013-01-21,81,82,82,83,21,5,5,4
2013-01-23,106,93,95,94,21,27,21,4
2013-01-25,101,77,86,86,21,22,21,4
2013-01-27,83,91,86,87,21,19,19,4
2013-02-01,85,76,89,89,21,15,21,4
2013-02-05,90,96,91,91,21,13,13,4
2013-02-08,99,93,91,90,21,2,21,4
2013-02-10,105,88,90,90,21,20,21,4
2013-02-12,108,101,95,94,21,11,21,4
2013-02-22,88,82,90,89,21,6,21,4
2013-02-27,90,84,97,95,21,23,21,4
2013-03-06,91,85,88,89,21,16,21,4
2013-03-09,96,85,84,83,21,19,21,4
2013-03-18,92,77,87,87,21,20,21,4
2013-03-20,90,89,95,97,21,29,21,4
2013-03-23,110,106,93,92,21,1,21,4
2013-03-29,103,94,88,87,21,9,21,4
2013-04-01,92,90,89,88,21,10,21,4
2013-04-09,94,75,84,83,21,3,21,4
2013-04-13,87,91,82,83,21,12,12,4
2013-04-17,86,70,85,86,21,17,21,4
2012-10-31,84,75,94,94,14,26,14,4
2012-11-05,88,110,90,92,14,7,7,4
2012-11-12,96,105,101,101,14,18,18,4
2012-11-14,76,94,89,90,14,4,4,4
2012-11-16,99,93,87,89,14,17,14,4
2012-11-18,86,79,86,85,14,28,14,4
2012-11-20,106,98,93,91,14,8,14,4
2012-11-24,109,116,97,97,14,29,29,4
2012-11-25,104,101,91,90,14,13,14,4
2012-11-27,100,98,93,92,14,23,14,4
2012-12-04,88,106,92,92,14,20,20,4
2012-12-07,95,94,100,102,14,1,14,4
2012-12-10,104,97,90,91,14,4,14,4
2012-12-12,89,96,90,90,14,25,25,4
2012-12-16,98,111,92,92,14,27,27,4
2012-12-21,99,80,87,86,14,30,14,4
2013-01-08,89,109,90,90,14,22,22,4
2013-01-12,107,100,99,100,14,9,14,4
2013-01-15,99,111,88,88,14,19,19,4
2013-01-18,108,101,98,97,14,8,14,4
2013-01-21,85,90,94,93,14,10,10,4
2013-01-26,97,80,90,90,14,7,14,4
2013-01-28,100,103,87,89,14,21,21,4
2013-01-30,92,84,93,92,14,15,14,4
2013-02-01,89,80,91,91,14,11,14,4
2013-02-04,78,61,85,85,14,6,14,4
2013-02-06,69,88,87,86,14,5,5,4
2013-02-09,87,76,89,88,14,3,14,4
2013-02-11,90,107,87,86,14,12,12,4
2013-02-23,90,114,85,84,14,24,24,4
2013-02-26,84,98,89,89,14,6,6,4
2013-03-02,104,97,100,99,14,2,14,4
2013-03-05,101,109,98,99,14,1,1,4
2013-03-11,106,97,85,84,14,22,14,4
2013-03-13,94,98,87,89,14,24,24,4
2013-03-16,98,91,89,90,14,5,14,4
2013-03-18,101,100,95,95,14,16,14,4
2013-03-27,100,92,93,94,14,18,14,4
